Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,StartupTransient,0,0.5,2.14795772128685,-2.16566727121228,2.16566727121228,1.03148538143714,-0.00771591289396417,4.31362499249914
Iprecharge,Current,StartupTransient,0,0.5,1.28725011296053,-0.961215428077962,1.28725011296053,0.180493957062901,0.00913098166880454,2.2484655410385
Ibypass,Current,StartupTransient,0,0.5,2.14769580716403,-2.1654031976516,2.1654031976516,1.01544693333961,-0.0168468945627687,4.31309900481562
Ibridge,Current,StartupTransient,0,0.5,4.09803265993484,-4.11087833031481,4.11087833031481,1.20006725974688,-0.00771778951022517,8.20891099024966
iBridgeD1,Current,StartupTransient,0,0.5,4.0980312870125,-2.2010887354984e-06,4.0980312870125,0.841768567905288,0.367314471448547,4.09803348810123
iL,Current,StartupTransient,0,0.5,4.11087521347521,-4.05427436872543e-09,4.11087521347521,1.20006734643,0.742346732407319,4.11087521752948
Isource,Current,StartupTransient,0,0.5,4.05403903021691,-4.94543344280037e-19,4.05403903021691,0.965612006874151,0.473001016512693,4.05403903021691
iBoostDiode,Current,StartupTransient,0,0.5,4.1088266826984,-4.08454624200495e-06,4.1088266826984,0.711551178341558,0.269345715894626,4.10883076724464
iCout,Current,StartupTransient,0,0.5,4.10882465457304,-0.255286778820607,4.10882465457304,0.690976064571043,0.185401431717613,4.36411143339364
iCx,Current,StartupTransient,0,0.5,2.58940824584885,-2.69843632024616,2.69843632024616,0.626907523387158,1.87661626100511e-06,5.28784456609501
Iout,Current,StartupTransient,0,0.5,0.255753918612917,-1.42932960204658e-30,0.255753918612917,0.144585245456318,0.0839442841770132,0.255753918612917
Vac,Voltage,StartupTransient,0,0.5,127.279220613579,-127.279220613579,127.279220613579,90.0000000000003,-3.67406755685806e-14,254.558441227157
Vac_bridge,Voltage,StartupTransient,0,0.5,266.739470460374,-221.081558064708,266.739470460374,86.615190314276,-0.74795814757201,487.821028525082
Vout,Voltage,StartupTransient,0,0.5,409.208827319853,-1.4293524713442e-22,409.208827319853,277.895727029739,241.677825195349,409.208827319853
Vds,Voltage,StartupTransient,0,0.5,410.633346601195,-4.94618474050962e-14,410.633346601195,136.42341414308,75.7171711071194,410.633346601195
VBoostDiodeAK,Voltage,StartupTransient,0,0.5,1.83264800300952,-408.454624200495,408.454624200495,239.848484920662,-165.96065408823,410.287272203505
VBridgeD1AK,Voltage,StartupTransient,0,0.5,1.82940938430374,-220.108873550636,220.108873550636,61.0393627988064,-37.8768535465515,221.93828293494
