Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,0.251144467666077,-0.280504939835432,0.280504939835432,0.0953051728438795,-0.00178076710035163,0.531649407501509
Iprecharge,Current,SteadyState,4.8,5,3.06236395148331e-05,-3.42037483033088e-05,3.42037483033088e-05,1.16211648493446e-05,-2.17140224887836e-07,6.48273878181419e-05
Ibypass,Current,SteadyState,4.8,5,0.251113844026562,-0.280470736087129,0.280470736087129,0.0952935516790302,-0.00178054996012674,0.531584580113691
Ibridge,Current,SteadyState,4.8,5,0.505424417130256,-0.505428894253185,0.505428894253185,0.128231763457541,-0.00178120116714677,1.01085331138344
iBridgeD1,Current,SteadyState,4.8,5,0.505421023596833,-3.46346578475321e-06,0.505421023596833,0.0882911996339108,0.0344431225494209,0.505424487062618
iL,Current,SteadyState,4.8,5,0.505422107136749,-3.9906352403033e-09,0.505422107136749,0.128228496024906,0.0706674462659891,0.505422111127384
Isource,Current,SteadyState,4.8,5,0.462545172871,3.98969268930344e-06,0.462545172871,0.0461893526432663,0.0143879311633755,0.462541183178311
iBoostDiode,Current,SteadyState,4.8,5,0.501407297303372,-4.00662183475344e-06,0.501407297303372,0.117718674013115,0.0562795151026136,0.501411303925206
iCout,Current,SteadyState,4.8,5,0.451380373578596,-0.0500868221081335,0.451380373578596,0.103580693544156,0.00628169707274438,0.501467195686729
iCx,Current,SteadyState,4.8,5,0.345046454791766,-0.344730520182753,0.345046454791766,0.0868371787934165,4.34066795146137e-07,0.689776974974519
Iout,Current,SteadyState,4.8,5,0.0500945459620199,0.0499173812175047,0.0500945459620199,0.0499978351276431,0.0499978180298692,0.000177164744515165
Vac,Voltage,SteadyState,4.8,5,339.411254969543,-339.411254969543,339.411254969543,239.999999999997,1.07847154140472e-12,678.822509939086
Vac_bridge,Voltage,SteadyState,4.8,5,345.60045870241,-346.988988124896,346.988988124896,239.998590092426,0.000187791967650875,692.589446827306
Vout,Voltage,SteadyState,4.8,5,400.756868641619,399.33954891385,400.756868641619,399.983180999496,399.983044217134,1.41731972776893
Vds,Voltage,SteadyState,4.8,5,401.452672572841,1.19820922036819e-06,401.452672572841,268.391702585967,219.563232916303,401.452671374631
VBoostDiodeAK,Voltage,SteadyState,4.8,5,0.750422187390996,-400.662183475344,400.662183475344,237.423682185112,-180.419811300831,401.412605662735
VBridgeD1AK,Voltage,SteadyState,4.8,5,0.751626305279046,-346.346578475995,346.346578475995,169.30444176728,-107.41717160819,347.098204781274
