Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4,5,0.01324847295896,-0.0132484729587958,0.01324847295896,0.00935971863972074,-4.3171495462957e-13,0.0264969459177559
Iprecharge,Current,SteadyState,4,5,1.61547042551071e-06,-1.61547042541126e-06,1.61547042551071e-06,1.14128992070738e-06,-5.25788097088808e-17,3.23094085092198e-06
Ibypass,Current,SteadyState,4,5,0.0132468574885345,-0.0132468574883704,0.0132468574885345,0.00935857734980003,-4.31662806477107e-13,0.0264937149769049
Ibridge,Current,SteadyState,4,5,0.00339169653608118,-0.00339169653723251,0.00339169653723251,0.00239520350606607,-4.29282493996652e-13,0.00678339307331369
iBridgeD1,Current,SteadyState,4,5,0.00338830834654515,-3.38818953697379e-06,0.00338830834654515,0.00169197221241346,0.00107455231913432,0.00339169653608212
iL,Current,SteadyState,4,5,0.00338492015816003,-4.00825837442573e-09,0.00338492015816003,0.00239041419811528,0.00214910463869792,0.0033849241664184
Isource,Current,SteadyState,4,5,0.00338555816312143,4.0121635042863e-06,0.00338555816312143,0.00239163998824571,0.00215097604297218,0.00338154599961715
iBoostDiode,Current,SteadyState,4,5,-6.38004269088177e-07,-4.01627489457929e-06,4.01627489457929e-06,2.14317862895596e-06,-1.87140427426174e-06,3.37827062549111e-06
iCout,Current,SteadyState,4,5,-1.04002229463724e-06,-4.41830320987098e-06,4.41830320987098e-06,2.50190585879103e-06,-2.27342742325953e-06,3.37828091523374e-06
iCx,Current,SteadyState,4,5,0.01281424798226,-0.0128142479793033,0.01281424798226,0.00904804125202788,-2.43284112855235e-15,0.0256284959615633
Iout,Current,SteadyState,4,5,4.02028315291692e-07,4.02017981494002e-07,4.02028315291692e-07,4.02023149008863e-07,4.02023148997795e-07,1.03337976901034e-11
Vac,Voltage,SteadyState,4,5,339.411254969543,-339.411254969543,339.411254969543,240,-1.11758708953857e-15,678.822509939086
Vac_bridge,Voltage,SteadyState,4,5,339.419970188059,-339.419970188081,339.419970188081,240.006558568303,1.36345624923706e-13,678.839940376141
Vout,Voltage,SteadyState,4,5,402.028315295712,402.017981498022,402.028315295712,402.023149012883,402.023149001816,0.010333797690123
Vds,Voltage,SteadyState,4,5,338.21759871343,0.400815534893736,338.21759871343,238.92507375082,214.882721575642,337.816783178536
VBoostDiodeAK,Voltage,SteadyState,4,5,-63.8004269088177,-401.627489457929,401.627489457929,214.317862895596,-187.140427426174,337.827062549111
VBridgeD1AK,Voltage,SteadyState,4,5,0.601016490704012,-338.818953697377,338.818953697377,169.328418501368,-107.441468242887,339.419970188081
