Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,0.297135965687685,-0.310760276265251,0.310760276265251,0.095648222181508,0.000514958917967921,0.607896241952937
Iprecharge,Current,SteadyState,4.8,5,3.62316748800823e-05,-3.78929735721571e-05,3.78929735721571e-05,1.16629950330239e-05,6.27922244967595e-08,7.41246484522395e-05
Ibypass,Current,SteadyState,4.8,5,0.297099734012805,-0.310722383291679,0.310722383291679,0.0956365591864749,0.000514896125743428,0.607822117304484
Ibridge,Current,SteadyState,4.8,5,0.505427951493602,-0.512974870683059,0.512974870683059,0.128548068948812,0.000514940302381769,1.01840282217666
iBridgeD1,Current,SteadyState,4.8,5,0.505424557943222,-3.47516102920664e-06,0.505424557943222,0.0914720454779026,0.0356304454465374,0.505428033104251
iL,Current,SteadyState,4.8,5,0.512967982758451,-3.99086961307767e-09,0.512967982758451,0.128544804254327,0.0707459505906932,0.512967986749321
Isource,Current,SteadyState,4.8,5,0.480307273763671,3.98976800169808e-06,0.480307273763671,0.0462450795865865,0.0143882732318469,0.480303283995669
iBoostDiode,Current,SteadyState,4.8,5,0.508958119156235,-4.00695295970392e-06,0.508958119156235,0.118038646935925,0.0563576773588463,0.508962126109194
iCout,Current,SteadyState,4.8,5,0.458975047512508,-0.0500949683843032,0.458975047512508,0.103906306335126,0.00635530002363064,0.509070015896811
iCx,Current,SteadyState,4.8,5,0.34494296352482,-0.344758712911334,0.34494296352482,0.0869849322639359,1.86155861514496e-08,0.689701676436153
Iout,Current,SteadyState,4.8,5,0.0501026939749359,0.0499223098957754,0.0501026939749359,0.0500023942823326,0.0500023773352157,0.000180384079160489
Vac,Voltage,SteadyState,4.8,5,339.411254969573,-339.411254969543,339.411254969573,239.999999999997,1.13062560558319e-12,678.822509939116
Vac_bridge,Voltage,SteadyState,4.8,5,346.605254528225,-348.154461557032,348.154461557032,239.998733423964,-5.75196821764112e-05,694.759716085257
Vout,Voltage,SteadyState,4.8,5,400.789990308534,399.347031305677,400.789990308534,399.987655950096,399.987520383836,1.44295900285744
Vds,Voltage,SteadyState,4.8,5,401.485803206556,1.1982320648851e-06,401.485803206556,268.357238263202,219.556847282939,401.485802008324
VBoostDiodeAK,Voltage,SteadyState,4.8,5,0.752687433946846,-400.695295970392,400.695295970392,237.399352131594,-180.430673100897,401.447983404339
VBridgeD1AK,Voltage,SteadyState,4.8,5,0.75162736558292,-347.516102921567,347.516102921567,169.30500967961,-107.417269599849,348.26773028715
