Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,0.657968561761917,-0.675530993909181,0.675530993909181,0.389514314067379,0.00136664671164897,1.3334995556711
Iprecharge,Current,SteadyState,4.8,5,8.02302843256613e-05,-8.23717831860968e-05,8.23717831860968e-05,4.74959534290993e-05,1.66643913802623e-07,0.000162602067511758
Ibypass,Current,SteadyState,4.8,5,0.657888331477591,-0.675448622125995,0.675448622125995,0.38946681811395,0.00136648006773519,1.33333695360359
Ibridge,Current,SteadyState,4.8,5,1.29798362484254,-1.29773277446452,1.29798362484254,0.460840950913941,0.00136598161758197,2.59571639930705
iBridgeD1,Current,SteadyState,4.8,5,1.29797977359553,-4.00696743479978e-06,1.29797977359553,0.327599203163952,0.166443033562163,1.29798378056296
iL,Current,SteadyState,4.8,5,1.29797592234852,-3.99073807332468e-09,1.29797592234852,0.460836538703454,0.331520085506745,1.29797592633926
Isource,Current,SteadyState,4.8,5,1.15576482203399,3.98802849078357e-06,1.15576482203399,0.181932695097527,0.0711889869056974,1.1557608340055
iBoostDiode,Current,SteadyState,4.8,5,1.29395885238234,-4.01860570903858e-06,1.29395885238234,0.420929575999766,0.260331098601047,1.29396287098805
iCout,Current,SteadyState,4.8,5,1.04376197656689,-0.251165810679652,1.04376197656689,0.33086936408733,0.0103275434026165,1.29492778724654
iCx,Current,SteadyState,4.8,5,0.69045051735254,-0.666150056776757,0.69045051735254,0.247994480859736,6.65094067036669e-07,1.3566005741293
Iout,Current,SteadyState,4.8,5,0.251313568365139,0.248707774837867,0.251313568365139,0.250004695632954,0.250003555198431,0.00260579352727261
Vac,Voltage,SteadyState,4.8,5,373.352380466513,-373.352380466497,373.352380466513,264.000000000001,2.81259417533875e-13,746.70476093301
Vac_bridge,Voltage,SteadyState,4.8,5,387.746885134368,-401.463767472536,401.463767472536,263.980963228071,5.89240886028856e-05,789.210652606904
Vout,Voltage,SteadyState,4.8,5,402.104222519907,397.934926818335,402.104222519907,400.010013059683,400.008188353041,4.16929570157146
Vds,Voltage,SteadyState,4.8,5,402.95610529582,1.19770847907923e-06,402.95610529582,302.571757402876,239.801995665834,402.956104098111
VBoostDiodeAK,Voltage,SteadyState,4.8,5,0.988187653914679,-401.860570903858,401.860570903858,244.300887557207,-160.206192687207,402.848758557772
VBridgeD1AK,Voltage,SteadyState,4.8,5,0.989393930278652,-400.696743475549,400.696743475549,186.199508445056,-118.129382424362,401.686137405827
